ProductID,ProductNo,ProductName,Barcode,SKU,Unit,DefaultSize,SellPriceIncTax,SellTaxCode,CostPriceIncTax,CostTaxCode,IsModifier,PrintDocket,Tags,CategoryNames,SellAccount,BuyAccount,InventoryAccount,ImageUrl,ReportingGroup,FriendlyName,ShowOnline,OnlineDescription,InventoryType,PurchaseFormat,PurchaseQty,Container,VariableQtyPrompt
20008595,,"JAMESON Dry & Lime 6.3% C24",9300727019189,,unit,1,154.99,GST,5.2790,GST,0,1,"ALM,beverages,rtds","Package RTDS Ctn",1,,1,,beverages,,1,,2,Individual,1,CAN,
20008593,,"JAMESON Dry & Lime 6.3% C1",9300727019165,,unit,1,9,GST,5.2790,GST,0,1,"ALM,beverages,rtds","Package RTDS Ind",1,1,1,,beverages,,1,,1,Cartons,24,CAN,
20008594,,"JAMESON Dry & Lime 6.3% C10",9300727020826,,unit,1,63.99,GST,43.5570,GST,0,1,"ALM,beverages,rtds","Package RTDS Ind",1,1,1,,beverages,,1,,1,Cartons,3,CAN,
19399149,,"JAMESON Black Barrel 700ML",5011007025854,,ml,700,89.99,GST,63.7300,GST,0,1,"ALM,beverages,spirits","Package SPIRITS",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19399150,,"JAMESON Caskmate IPA 700ML",5011007025960,,ml,700,70.99,GST,56.1100,GST,0,1,"ALM,beverages,spirits","Package SPIRITS",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19399151,,"JAMESON Caskmate Stout 700ML",5011007025410,,ml,700,70.99,GST,56.1100,GST,0,1,"ALM,beverages,spirits","Package SPIRITS",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19399148,,"JAM SHED Red Blend S1",9311043857782,,ml,750,14.99,GST,10.8800,GST,0,1,"ALM,beverages,red,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
20008596,,"JAMESON Dry & Lime 6.3% C30",29300727020820,,unit,1,156.99,GST,4.3557,GST,0,1,"ALM,beverages,rtds","Package RTDS Ctn",1,,1,,beverages,,1,,2,Individual,1,CAN,
20008602,,"JAMESON Raw & Cola 6.3% C24",9300727019158,,unit,1,154.99,GST,5.2790,GST,0,1,"ALM,beverages,rtds","Package RTDS Ctn",1,,1,,beverages,,1,,2,Individual,1,CAN,
20008599,,"JAMESON Raw & Cola 6.3% C30",29300727031192,,unit,1,156.99,GST,4.3557,GST,0,1,"ALM,beverages,rtds","Package RTDS Ctn",1,,1,,beverages,,1,,2,Individual,1,CAN,
